o_iti_it bp fp     mu             rho                  LogCost              OptError             Error Reg   Step  Upt
   1   0  0 11 1.0000          1.0000                  -3.3736             4611.3582        31211.5960   0 0.0010    0
 229  68  0  0 0.0080       1000.0000                3383.0377             1458.0267            0.0001   2 0.0078  224
 230  69  0  0 0.0080       1000.0000                3375.1487             1446.6359            0.0001   2 0.0078  225
 231  70  0  0 0.0080       1000.0000                3362.9336             1435.3341            0.0001   2 0.0078  226
 232  71  0  0 0.0080       1000.0000                3349.9927             1424.1205            0.0001   2 0.0078  227
 233  72  0  0 0.0080       1000.0000                3324.2924             1412.9946            0.0001   2 0.0156  228
 234  73  0  0 0.0080       1000.0000                3299.0514             1390.9165            0.0001   2 0.0156  229
 235  74  0  0 0.0080       1000.0000                3274.2920             1369.1835            0.0001   2 0.0156  230
 236  75  0  0 0.0080       1000.0000                3262.1130             1347.7900            0.0001   2 0.0078  231
 237  76  0  0 0.0080       1000.0000                3237.9846             1337.2604            0.0001   2 0.0156  232
 238  77  0  0 0.0080       1000.0000                3214.1189             1316.3657            0.0001   2 0.0156  233
 239  78  0  0 0.0080       1000.0000                3202.0781             1295.7975            0.0001   2 0.0078  234
 240  79  0  0 0.0080       1000.0000                3177.3342             1285.6740            0.0001   2 0.0156  235
 241  80  0  0 0.0080       1000.0000                3169.2123             1265.5854            0.0001   2 0.0039  236
 242  81  0  0 0.0080       1000.0000                3159.9152             1260.6417            0.0001   2 0.0039  237
 243  82  0  0 0.0080       1000.0000                3140.1332             1255.7173            0.0001   2 0.0078  238
 244  83  0  0 0.0080       1000.0000                3099.6281             1245.9070            0.0001   2 0.0156  239
 245  84  0  0 0.0080       1000.0000                3059.7948             1226.4397            0.0001   2 0.0156  240
 246  85  0  0 0.0080       1000.0000                3020.8372             1207.2766            0.0001   2 0.0156  241
 247  86  0  0 0.0080       1000.0000                2982.7433             1188.4129            0.0001   2 0.0156  242
 248  87  0  0 0.0080       1000.0000                2945.4966             1169.8440            0.0001   2 0.0156  243
 249  88  0  0 0.0080       1000.0000                2909.0788             1151.5651            0.0001   2 0.0156  244
 250  89  0  0 0.0080       1000.0000                2873.4713             1133.5719            0.0001   2 0.0156  245
 251  90  0  0 0.0080       1000.0000                2804.0803             1115.8599            0.0001   2 0.0312  246
 252  91  0  0 0.0080       1000.0000                2770.8019             1080.9893            0.0001   2 0.0156  247
 253  92  0  0 0.0080       1000.0000                2738.2585             1064.0988            0.0001   2 0.0156  248
 254  93  0  0 0.0080       1000.0000                2706.4319             1047.4723            0.0001   2 0.0156  249
 255  94  0  0 0.0080       1000.0000                2675.3045             1031.1055            0.0001   2 0.0156  250
 256  95  0  0 0.0080       1000.0000                2614.6108             1014.9945            0.0001   2 0.0312  251
 257  96  0  0 0.0080       1000.0000                2585.4887              983.2759            0.0001   2 0.0156  252
 258  97  0  0 0.0080       1000.0000                2556.9987              967.9122            0.0001   2 0.0156  253
 259  98  0  0 0.0080       1000.0000                2501.4236              952.7886            0.0001   2 0.0312  254
 260  99  0  0 0.0080       1000.0000                2474.7462              923.0139            0.0001   2 0.0156  255
 261 100  0  0 0.0080       1000.0000                2422.6899              908.5918            0.0001   2 0.0312  256
 262   0  0  1 0.0016      10000.0000               20233.5439            18586.8816            0.0001   0 0.0010  256
 263   0  0  1 0.0016      10000.0000               20233.5439            18586.8816            0.0001   1 0.0010  256
 264   0  0  1 0.0016      10000.0000               20233.5439            18586.8816            0.0001   2 0.0010  256
 265   1  0  0 0.0016      10000.0000               20098.1187            18586.8816            0.0001   3 0.0078  257
 266   2  0  0 0.0016      10000.0000               19964.5379            18441.6716            0.0001   3 0.0078  258
 267   3  0  0 0.0016      10000.0000               19701.6094            18297.5961            0.0001   3 0.0156  259
 268   4  0  0 0.0016      10000.0000               19573.3415            18011.6961            0.0001   3 0.0078  260
 269   5  0  0 0.0016      10000.0000               19446.7734            17870.9798            0.0001   3 0.0078  261
 270   6  0  0 0.0016      10000.0000               19197.5558            17731.3627            0.0001   3 0.0156  262
 271   7  0  0 0.0016      10000.0000               19075.9371            17454.3102            0.0001   3 0.0078  263
 272   8  0  0 0.0016      10000.0000               18836.4282            17317.9484            0.0001   3 0.0156  264
 273   9  0  0 0.0016      10000.0000               18719.5294            17047.3554            0.0001   3 0.0078  265
 274  10  0  0 0.0016      10000.0000               18489.2857            16914.1730            0.0001   3 0.0156  266
 275  11  0  0 0.0016      10000.0000               18376.8943            16649.8890            0.0001   3 0.0078  267
 276  12  0  0 0.0016      10000.0000               18155.5015            16519.8118            0.0001   3 0.0156  268
 277  13  0  0 0.0016      10000.0000               17939.7987            16261.6897            0.0001   3 0.0156  269
 278  14  0  0 0.0016      10000.0000               17834.4840            16007.6008            0.0001   3 0.0078  270
 279  15  0  0 0.0016      10000.0000               17626.9910            15882.5414            0.0001   3 0.0156  271
 280  16  0  0 0.0016      10000.0000               17424.7782            15634.3767            0.0001   3 0.0156  272
 281  17  0  0 0.0016      10000.0000               17227.6910            15390.0896            0.0001   3 0.0156  273
 282  18  0  0 0.0016      10000.0000               17035.5798            15149.6194            0.0001   3 0.0156  274
 283  19  0  0 0.0016      10000.0000               16848.2998            14912.9066            0.0001   3 0.0156  275
 284  20  0  0 0.0016      10000.0000               16665.7109            14679.8925            0.0001   3 0.0156  276
 285  21  0  0 0.0016      10000.0000               16487.6773            14450.5191            0.0001   3 0.0156  277
 286  22  0  0 0.0016      10000.0000               16314.0676            14224.7298            0.0001   3 0.0156  278
 287  23  0  0 0.0016      10000.0000               16144.7548            14002.4684            0.0001   3 0.0156  279
 288  24  0  0 0.0016      10000.0000               15979.6156            13783.6798            0.0001   3 0.0156  280
 289  25  0  0 0.0016      10000.0000               15818.5308            13568.3098            0.0001   3 0.0156  281
 290  26  0  0 0.0016      10000.0000               15661.3851            13356.3050            0.0001   3 0.0156  282
 291  27  0  0 0.0016      10000.0000               15508.0668            13147.6127            0.0001   3 0.0156  283
 292  28  0  0 0.0016      10000.0000               15209.9417            12942.1813            0.0001   3 0.0312  284
 293  29  0  0 0.0016      10000.0000               15067.5330            12537.7381            0.0001   3 0.0156  285
 294  30  0  0 0.0016      10000.0000               14928.5399            12341.8359            0.0001   3 0.0156  286
 295  31  0  0 0.0016      10000.0000               14792.8695            12148.9948            0.0001   3 0.0156  287
 296  32  0  0 0.0016      10000.0000               14528.8806            11959.1667            0.0001   3 0.0312  288
 297  33  0  0 0.0016      10000.0000               14402.7118            11585.4427            0.0001   3 0.0156  289
 298  34  0  0 0.0016      10000.0000               14157.1365            11404.4202            0.0001   3 0.0312  290
 299  35  0  0 0.0016      10000.0000               14039.7223            11048.0321            0.0001   3 0.0156  291
 300  36  0  0 0.0016      10000.0000               13811.0105            10875.4066            0.0001   3 0.0312  292
